timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663939816648,509,Go to basket,200,OK,User Journey 1-3,text,true,,483,272,5,5,http://localhost:3000/api/v1/booksApp/basket,509,0,0
1663939816768,512,Go to basket,200,OK,User Journey 1-5,text,true,,482,272,5,5,http://localhost:3000/api/v1/booksApp/basket,512,0,0
1663939817282,212,Submit order,200,OK,User Journey 1-5,text,true,,341,339,5,5,http://localhost:3000/api/v1/booksApp/orders,212,0,0
1663939817132,517,Go to book's details,200,OK,User Journey 1-2,text,true,,646,300,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba7a,517,0,0
1663939817131,520,Go to book's details,200,OK,User Journey 1-4,text,true,,668,298,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba81,519,0,0
1663939817133,518,Go to book's details,200,OK,User Journey 1-1,text,true,,774,296,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba7b,518,0,0
1663939817159,523,Submit order,200,OK,User Journey 1-3,text,true,,341,339,5,5,http://localhost:3000/api/v1/booksApp/orders,522,0,0
1663939817496,536,Go to main page,200,OK,User Journey 1-5,text,true,,3977,271,5,5,http://localhost:3000/api/v1/booksApp/books,536,0,0
1663939817651,519,Go to main page,200,OK,User Journey 1-1,text,true,,3977,271,5,5,http://localhost:3000/api/v1/booksApp/books,519,0,0
1663939817651,528,Go to main page,200,OK,User Journey 1-2,text,true,,3977,275,5,5,http://localhost:3000/api/v1/booksApp/books,526,0,0
1663939817651,528,Go to main page,200,OK,User Journey 1-4,text,true,,3977,273,5,5,http://localhost:3000/api/v1/booksApp/books,528,0,0
1663939817682,517,Go to main page,200,OK,User Journey 1-3,text,true,,3977,271,5,5,http://localhost:3000/api/v1/booksApp/books,517,0,0
1663939818206,211,Go to book's details,200,OK,User Journey 1-3,text,true,,668,296,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba81,211,0,0
1663939818035,516,Go to book's details,200,OK,User Journey 1-5,text,true,,818,296,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba79,516,0,0
1663939818171,527,Go to book's details,200,OK,User Journey 1-1,text,true,,668,296,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba81,527,0,0
1663939818181,520,Go to book's details,200,OK,User Journey 1-2,text,true,,582,300,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba7c,519,0,0
1663939818181,520,Go to book's details,200,OK,User Journey 1-4,text,true,,582,298,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba7c,519,0,0
1663939818419,526,Go to main page,200,OK,User Journey 1-3,text,true,,3977,271,5,5,http://localhost:3000/api/v1/booksApp/books,525,0,0
1663939818553,516,Go to main page,200,OK,User Journey 1-5,text,true,,3977,271,5,5,http://localhost:3000/api/v1/booksApp/books,516,0,0
1663939818701,526,Add the book to basket,200,OK,User Journey 1-2,text,true,,330,336,5,5,http://localhost:3000/api/v1/booksApp/basket,524,0,0
1663939818701,525,Go to main page,200,OK,User Journey 1-4,text,true,,3977,273,5,5,http://localhost:3000/api/v1/booksApp/books,523,0,0
1663939818699,528,Add the book to basket,200,OK,User Journey 1-1,text,true,,330,332,5,5,http://localhost:3000/api/v1/booksApp/basket,527,0,0
